GN	Protein Accession #	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
Rapgef4	sp|Q9EQZ6|RPGF4_MOUSE	472576.3443553	518205.78886439	473996.097823113	542877.754563236	433303.112540841	447659.472632868	516890.198288611	813565.865457442	804987.662565741	771097.556254479
Rapgef4	sp|Q9EQZ6-3|RPGF4_MOUSE	472576.3443553	518205.78886439	473996.097823113	542877.754563236	433303.112540841	447659.472632868	516890.198288611	813565.865457442	804987.662565741	771097.556254479
Yes1	sp|Q04736|YES_MOUSE	4372091.67250825	4269328.71556503	4428541.74151755	4162223.36430384	4917706.84067681	4850002.85750601	4761483.08197813	3525408.70809867	3456200.5860863	3700495.80164497
FAM120A	sp|Q6A0A9|F120A_MOUSE	524052.565468884	530629.893550271	530210.604255839	504128.998184114	608893.00324463	609971.42746367	549100.431221681	485951.750115512	487071.488112046	488720.300487025
Ncf1	sp|Q09014|NCF1_MOUSE	507432.627384821	466072.027380649	575579.306376808	428517.927626401	508189.730806672	454706.168487136	427598.215168125	258337.545545574	271691.427125155	257288.667871987
Myo1b	sp|P46735|MYO1B_MOUSE	365194.677150188	376837.607858837	393920.627865208	369363.906743998	464289.407333623	484620.351296256	434556.934060439	504720.851358428	485358.862228542	424299.422325483
Gria1	sp|P23818|GRIA1_MOUSE	1507499.2555906	953659.43418913	1115519.48236269	1847697.28355215	1571240.33664808	1090543.60699065	1660502.19431446	1569933.14051287	1528862.43285477	1624595.46754461
Gria1	tr|Q7TNB5|Q7TNB5_MOUSE	1580103.62214648	999065.189527431	1171306.98987985	1986192.11451934	1654874.4594369	1136096.63684148	1742709.56731575	1641371.19915823	1614977.71751267	1707878.63217075
Pum2	sp|Q80U58|PUM2_MOUSE	602595.447623033	598728.275240455	632068.759305254	610451.437952566	765438.701196237	795069.434861623	599837.051511239	473048.153421895	458078.924948828	477769.682195759
Pum2	sp|Q80U58-2|PUM2_MOUSE	598805.563250824	596789.590399996	633423.767367671	615299.431128942	774640.621272807	803928.191289058	605150.850516611	468661.413626509	453696.067674026	474303.455393841
Pum2	tr|E9Q765|E9Q765_MOUSE	53876.3112107988	47769.1990218916	55749.3325576315	52756.400652915	77209.4345834216	72607.4658674297	57378.0510637458	28318.7589436376	29894.0656484763	33424.0662872257
Myh11	sp|O08638|MYH11_MOUSE	3479379.5525726	3766595.95127634	3589382.66160787	3494926.09340079	3875861.04658386	4786640.30028571	4250252.08918139	3948611.61810085	4378117.87401453	3725108.2996266
Myh11	tr|E9QPE7|E9QPE7_MOUSE	3470383.64723189	3764088.98816084	3591195.04324902	3503017.7676163	3870995.76181051	4794996.02434842	4244065.72214136	3950418.70620492	4382661.69997577	3724664.44904202
Kiaa0196	sp|Q8C2E7|STRUM_MOUSE	885377.320856231	891270.782367235	922763.148968849	853949.459020763	890737.680931144	925754.58360008	886442.869124051	734206.858890044	732929.281514992	739156.813639871
Ampd3	sp|O08739|AMPD3_MOUSE	947806.089686421	986522.189455583	996390.13852886	990158.952374771	1137443.22016732	1155264.84568376	1239333.07091429	648462.349515264	764101.102245091	725285.726604552
Ccdc58	sp|Q8R3Q6|CCD58_MOUSE	432335.010322136	413675.386547725	416091.008294853	399793.479635457	492751.541159729	427152.892096034	453094.608676543	415505.25177041	404310.963676362	397247.573229851
Fhl1	sp|P97447|FHL1_MOUSE	2566564.81028011	2499734.5638845	2564361.04092804	2265204.07062616	2604408.97735207	2617630.78572828	2860610.37825821	1627950.72963588	1848574.87320765	1689456.04534833
Pls1	sp|Q3V0K9|PLSI_MOUSE	2243044.03647765	2011289.82659817	2226158.82655258	1819852.16564389	1857681.89190741	1864671.51627285	2001612.863506	1894658.88389	2095255.43696257	1871039.92754924
Pmpcb	sp|Q9CXT8|MPPB_MOUSE	1424268.34982731	1465874.67248235	1483123.9493109	1428517.83827127	1613761.83556189	1586275.28696959	1482664.51850043	1483783.83550128	1480608.3274894	1455401.20188724
Hnrnpul1	sp|Q8VDM6|HNRL1_MOUSE	835544.755624786	865321.358234041	855200.168858575	836828.032788096	1026636.24095401	1009743.99362979	842085.909807792	615114.466372153	615454.17743702	633865.626399378
Wdr91	sp|Q7TMQ7|WDR91_MOUSE	440030.488630912	431414.89486588	433242.816344344	409353.074118	428496.698212847	404239.360652774	416994.784938935	382064.840754363	380150.035039841	394132.465020925
Arsb	sp|P50429|ARSB_MOUSE	984019.889308276	1172287.24698261	1088369.12170446	1010020.90193993	818240.686584779	948332.16339987	1001167.17608806	766775.230219877	760277.237008453	765572.777850772
Wdr5	sp|P61965|WDR5_MOUSE	428120.092086671	455250.88224714	454694.687210464	460682.886218577	497744.22757083	571511.639427532	441494.184951436	383176.618825413	358014.055077462	382899.711320919
Lrrfip1	sp|Q3UZ39|LRRF1_MOUSE	662554.398380897	682861.03283489	719049.395362793	653278.506312714	860874.48673746	820120.355760209	711937.939041547	485959.459298609	516016.12055462	502394.164351007
Lrrfip1	sp|Q3UZ39-2|LRRF1_MOUSE	659033.578002765	663815.379555875	683382.852170944	670526.728882422	821199.359537795	784333.291627485	710717.561053075	641594.028088504	628076.616012609	644218.815728353
Lrrfip1	tr|A0A087WNU6|A0A087WNU6_MOUSE	665252.046170053	674031.363873806	697018.485860724	677364.059166603	803116.248510387	774906.696392503	705842.44513111	638693.657760448	616302.188493377	640657.201511289
Lrrfip1	tr|A0A087WSF5|A0A087WSF5_MOUSE	351322.506670673	355363.625977268	373720.844107136	357028.783610476	416857.708535575	408380.21407815	372664.491672721	333969.462979763	317434.778827289	334999.71494005
Med20	sp|Q9R0X0|MED20_MOUSE	370771.840609947	375431.895332031	386949.197870912	355695.809489651	421238.034427052	409954.354205558	337985.09592696	223617.470672252	228785.13127252	229864.104838096
Sel1l	sp|Q9Z2G6|SE1L1_MOUSE	446987.415660129	439930.049979947	509398.444835366	445393.326703045	451597.909982013	478211.815278039	467455.106403221	374747.959083794	369400.704683854	370753.903347422
Sel1l	sp|Q9Z2G6-2|SE1L1_MOUSE	448021.792805609	439250.268499284	510793.520294176	444354.178029224	452681.68371532	477790.969847358	467739.194410514	373166.321146769	370230.657780813	370233.861081803
Nes	sp|Q6P5H2|NEST_MOUSE	657163.442859756	675353.329196384	713697.484253145	627779.573023186	1598693.09809597	1632529.25325464	912169.431657691	355062.19194905	378229.301790973	386000.604973216
Lpp	sp|Q8BFW7|LPP_MOUSE	99767.6806010905	99835.3994361536	106937.272659786	101990.735873612	142462.575615004	143761.371439296	132836.818168587	83441.7259837855	81770.9228761998	83712.6053160637
Iqgap2	sp|Q3UQ44|IQGA2_MOUSE	1350417.06282135	1018563.65620758	1236417.88115244	1610239.86065081	2329763.77235357	1904852.80232232	2056578.08089516	1101155.21545546	1060370.96213102	1129240.06868581
Sorcs2	sp|Q9EPR5|SORC2_MOUSE	627635.079332715	639185.3378067	683838.261208739	619680.93426457	1008002.78366497	1077477.97487903	930428.175398996	554415.708095359	584961.778791925	589988.795249146
Cpt1a	sp|P97742|CPT1A_MOUSE	1888731.07393617	1842528.26696993	1905745.18305285	1744303.71633468	2422132.353739	2536517.85549392	2471918.75216585	1577117.71072281	1685956.92256716	1600062.38676784
Specc1	sp|Q5SXY1|CYTSB_MOUSE	1809630.78238505	1784280.57624015	1922148.26432949	1735830.81984076	2394105.75000877	2383962.19619434	2026599.64950322	1428800.1569627	1430126.21366689	1470411.16165
Specc1	sp|Q5SXY1-3|CYTSB_MOUSE	1819286.02431514	1794233.02806521	1949548.93624695	1736677.62927243	2434434.98478218	2446973.72218475	2051242.02140508	1408804.17270104	1396968.38951838	1438548.43642082
Eif5b	sp|Q05D44|IF2P_MOUSE	2559329.83905904	2582764.82881626	2639130.71715998	2375758.97322176	2629436.04831197	2844641.75176588	2457532.49833924	1682975.04499889	1738228.75743008	1728179.18856232
Wdr44	sp|Q6NVE8|WDR44_MOUSE	566207.336323449	558023.478338693	587445.034728752	612575.120286082	560480.298579401	561925.684635917	571392.562080806	669337.198898542	660066.915860892	664181.708106948
Cpox	sp|P36552|HEM6_MOUSE	507718.093371398	482493.567812919	513136.725255024	480148.926871858	414551.89712745	415522.005387787	367720.371800504	396139.08863175	386895.830026986	408871.845125521
Exoc8	sp|Q6PGF7|EXOC8_MOUSE	1234644.9677815	1175389.79601941	1227064.39175223	1248806.9376796	1184967.26679948	1082118.16671214	1219769.63396084	1387669.72093501	1378861.86841335	1355056.00724093
Prkaa2	sp|Q8BRK8|AAPK2_MOUSE	239574.781468268	242630.550473416	246437.267932036	262317.650481332	234045.02200521	216850.842209854	243944.134565953	353283.710089163	342933.405782775	333963.927570473
Lbh	sp|Q9CX60|LBH_MOUSE	134195.856340431	140008.07929798	139304.394764861	138163.675001299	152919.722665283	153372.433901528	148638.290288978	131949.433840955	122307.743800706	116680.513713295
Tmem14c	sp|Q9CQN6|TM14C_MOUSE	117959.211148546	121610.446390748	109222.04239834	126012.60838872	111122.520908225	116182.072918556	114075.546093495	176940.901921371	151756.738254551	152281.051770711
Nde1	sp|Q9CZA6|NDE1_MOUSE	439501.530236739	431774.08318623	443247.654204614	382070.960202723	357512.238099588	340528.447767558	386376.906901665	336867.304502779	354357.339695429	339598.252123294
Chn1	sp|Q91V57|CHIN_MOUSE	453583.156391927	438638.047161938	461184.761357615	482535.194954881	429822.031331177	440511.493643181	455865.277254716	530767.216010208	538443.959787229	495953.848678731
Chn1	sp|Q91V57-2|CHIN_MOUSE	346978.877952758	333615.267381558	348252.158921581	385341.520248428	338069.08585789	353926.69007428	359255.850118615	451147.888372024	436554.956614192	416056.828112568
Bccip	sp|Q9CWI3|BCCIP_MOUSE	136441.264570015	136109.093749892	141810.189751782	143044.790900441	174261.377857506	181748.531473044	140358.094401901	107898.064159143	107430.717545177	111530.783401572
Cpeb2	sp|Q812E0|CPEB2_MOUSE	235390.521265543	237874.695479493	242961.974691618	253885.492523731	213023.189482751	220309.034416386	231805.07847437	292464.061469196	280923.29664821	291070.839390266
Cpeb2	tr|E9Q969|E9Q969_MOUSE	235233.873294136	238709.950677693	243202.963646467	252352.82235547	212105.875525475	219559.963452319	232256.132930175	294335.595495386	280114.902601327	292817.861486809
Cpeb2	tr|E9Q5X2|E9Q5X2_MOUSE	237034.394178937	240654.373089835	243084.385080317	251156.961672903	214310.394404568	220426.04198177	233610.149971545	291868.647598461	278375.62409193	290371.947011743
Uqcc2	sp|Q9CQY6|UQCC2_MOUSE	334627.917788635	393753.281752214	308873.15003073	293549.64520788	310524.360594417	340853.874796672	309324.909692185	379959.174057324	347766.591682572	365186.335441058
Eea1	sp|Q8BL66|EEA1_MOUSE	1284551.69686799	1268105.06034211	1275409.3681283	1267986.94493287	1322244.72561612	1235820.85241365	1316001.1583323	1369047.55280474	1392038.44731001	1414016.79973043
Cbl	sp|P22682|CBL_MOUSE	490669.450216117	490302.687855545	516303.365734075	494655.369821443	553169.54846703	553704.899882604	502468.058925556	405904.479441012	398954.463960857	412044.428824775
Exog	sp|Q8C163|EXOG_MOUSE	485927.866230215	505479.88259276	508403.208552659	573079.733742958	433971.259536801	445177.636597858	485296.625807381	731373.555475094	715875.177829361	699327.111422729
Fdps	sp|Q920E5|FPPS_MOUSE	1026743.00603104	1030982.04251192	980194.327966865	870799.1410606	900363.395361042	915259.014809524	920821.915479487	741319.437538156	884472.439303292	799865.193470633
Pef1	sp|Q8BFY6|PEF1_MOUSE	274748.488418975	285207.135667846	274483.444007592	274078.035954906	290691.379127396	274383.208164466	294492.635966054	311541.697627808	320583.796103301	319951.207018022
Dguok	sp|Q9QX60|DGUOK_MOUSE	114706.953464376	113577.812564333	113488.805545536	118369.26072401	114759.093247069	117074.992285725	118904.197595024	122977.689617769	118521.065764337	111776.510425745
Nae1	sp|Q8VBW6|ULA1_MOUSE	1472352.71401213	1485275.73309261	1530700.05327913	1397194.11529026	1453958.91909504	1491224.22318995	1455912.76820172	1583753.17281328	1613443.31384643	1543045.20531228
Mcm4	sp|P49717|MCM4_MOUSE	268798.921584746	290337.456004376	296262.914257376	277747.646542831	450594.386379264	482628.552757797	296422.43358976	141028.538246645	153165.166870625	142155.892213386
Gorasp2	sp|Q99JX3|GORS2_MOUSE	1106897.5401004	1080066.76028404	1150150.74957442	1023793.94638378	1340561.78500872	1260944.54071157	1126282.02593313	913336.140633622	955686.069205228	938560.607177988
Atg4b	sp|Q8BGE6|ATG4B_MOUSE	651003.337619857	653702.990917059	679048.272220102	673813.848800721	560410.875013224	570273.968734591	579571.359375799	623739.711899425	603421.181936399	602751.685182083
Kbtbd11	sp|Q8BNW9|KBTBB_MOUSE	1305263.17344531	1309687.72913324	1286126.58436812	1408990.48747845	1379303.42300841	1365148.6387444	1377298.29967626	1537296.87641422	1512027.97958937	1474993.16602529
Tmx2	sp|Q9D710|TMX2_MOUSE	2239467.20714877	2248154.61128375	2016412.681847	2017195.654843	2193397.87443098	2400621.59430502	2396687.29074584	2232564.0514735	2212395.09220549	2289533.5932662
Prex1	sp|Q69ZK0|PREX1_MOUSE	1235616.61780674	1231007.49573451	1329293.36895947	1193838.31183153	1374848.16014546	1401903.00769194	1404288.93991741	856137.417087709	820366.101152594	835298.360321868
Ptprs	sp|B0V2N1|PTPRS_MOUSE	1178069.97386502	1163145.37163479	1182486.9881069	1396432.46681886	1063508.65444725	995599.639188361	1226906.18985168	1677511.58647894	1599919.11314399	1668479.26041721
Ptprs	sp|B0V2N1-3|PTPRS_MOUSE	1164074.52761282	1144099.01386596	1160545.59402338	1401287.1725869	1038195.92614889	974055.817202823	1218574.60574806	1733115.49863017	1649058.78069015	1728474.06986928
Tcp11l1	sp|Q8BTG3|T11L1_MOUSE	776519.427891426	682830.620842949	638673.584430478	662394.249603287	579385.115828347	588953.267489874	684483.953046876	703307.845261409	772805.526343234	738601.012812747
Hp	sp|Q61646|HPT_MOUSE	469605.040567514	472544.75369397	245322.208641035	158534.022059641	517236.46363858	361567.398860229	180657.654333704	181564.742189183	167949.244637601	156237.892808564
Dock3	sp|Q8CIQ7|DOCK3_MOUSE	840567.155008298	868111.068687938	789330.310052845	899741.592778177	824458.938481444	826954.403796996	815588.266118852	1257669.69315051	1264254.45473692	1245385.2564441
Dock3	tr|F8VPQ1|F8VPQ1_MOUSE	839754.902732533	868330.90631276	790080.853092564	899302.738271443	824852.902937001	828031.965272639	816207.971099948	1255487.18136239	1261402.12489709	1247932.8381978
Dock3	tr|F6YXW9|F6YXW9_MOUSE	314587.605140446	317074.192757611	300985.352821199	320381.833412498	317784.984614239	294744.736500583	321639.655800684	451725.313481093	449279.934789648	439867.237599469
Mrps31	sp|Q61733|RT31_MOUSE	937908.663455187	936280.133896323	916861.705516387	859627.471089282	1119221.9702888	1059739.8662207	957181.351524572	807369.501177342	849141.768051691	790646.857349442
Commd4	sp|Q9CQ02|COMD4_MOUSE	214727.096047146	217784.551677588	212785.512187888	207104.062277822	218989.996841324	228667.671488559	217961.962235914	188015.24954793	198968.167687501	194526.934332636
Amt	sp|Q8CFA2|GCST_MOUSE	443037.93606684	430175.116023801	450293.425916698	395681.387614068	503731.860869274	504264.137351975	461476.130560105	338484.344982761	333083.197954877	319980.712174852
Cdkn1b	sp|P46414|CDN1B_MOUSE	503022.909701702	472608.820077759	463418.287597062	457772.99624483	594204.225207226	544618.534971585	519479.085698792	380933.853318548	374882.398145725	392517.066520303
Cdk17	sp|Q8K0D0|CDK17_MOUSE	855258.56081059	847329.606281639	832095.338308416	844428.120586527	929576.448084783	905572.01591716	829431.027891566	893165.157759591	889887.485764079	897888.472197393
Soga3	sp|Q6NZL0|SOGA3_MOUSE	2057368.70550588	2131851.70103944	2158048.30308734	2164720.85221346	1559845.90295883	1630627.9760782	1693499.61353321	2059586.28216659	1941765.82518292	2113918.20013832
Fdxr	sp|Q61578|ADRO_MOUSE	517211.246241694	472150.478872967	470001.696354417	481642.769592178	534823.265031345	498792.407812997	505973.625134485	517017.240098897	483641.823822552	544446.825596763
9030624J02Rik	tr|I1E4X5|I1E4X5_MOUSE	1115131.14479276	1116043.34703466	1192598.71520087	1051660.19057417	1167847.12796182	1233356.91994345	1188329.24061515	960718.623431292	979540.201110267	968963.863749894
Mcm3	sp|P25206|MCM3_MOUSE	736946.728493271	808242.746188368	788598.850208333	726386.781290759	1224445.78229482	1301660.73347043	788283.065382803	369664.98927246	403507.051695189	396997.292732863
Abhd17b	sp|Q7M759|AB17B_MOUSE	258322.896657536	255881.885323394	266678.556077639	273795.473010515	273098.213274706	276064.410600747	262149.589003642	253280.781387782	245075.586713555	247072.117473383
Top2a	sp|Q01320|TOP2A_MOUSE	926909.596799992	954829.188527209	1114868.65767136	926428.460248262	1180155.93201128	1294634.86456362	905900.711869219	421392.093772254	440854.251332496	445016.191037001
Pdcd4	sp|Q61823|PDCD4_MOUSE	426259.540677895	486109.332155098	439095.559448189	434620.164289046	344573.680983166	321842.90629433	324172.840257814	247274.652315116	240824.913645845	254205.559580998
Aldh1a2	sp|Q62148|AL1A2_MOUSE	1050879.26792323	1000840.34825371	915455.057828727	1030609.11155565	1000268.59295555	1240406.71789323	1074032.24758522	1111372.33355145	1127095.18067503	994804.716514286
Faim	sp|Q9WUD8|FAIM1_MOUSE	657656.175651633	636161.60743962	702880.063832502	678539.339479542	715397.95604615	694032.709308851	643738.29233939	446153.529763215	459013.317360973	476045.717669461
Fdx1l	sp|Q9CPW2|ADXL_MOUSE	303128.902674594	315208.78545949	306752.902165576	351358.383064317	337070.814408953	308559.300277981	329831.682792625	453866.477177891	468453.820986567	447478.407771784
Mrpl51	sp|Q9CPY1|RM51_MOUSE	474342.681179586	447849.753741382	447833.30899492	460832.40702548	573018.572079864	600259.447941975	506915.906325029	423837.383657887	429736.822497836	409129.734286972
Mrpl28	sp|Q9D1B9|RM28_MOUSE	462006.263570644	447858.94949543	477830.981405113	413326.094692225	512454.424642816	534641.926985095	470648.706401957	413389.252057297	394972.384118556	393479.682535794
Tbc1d13	sp|Q8R3D1|TBC13_MOUSE	1334703.14198992	1325338.25547476	1367408.86745158	1237404.48817221	1217943.59411025	1278752.75917828	1186607.65680313	979550.277567427	994211.319650433	1014244.04712096
Cul4a	sp|Q3TCH7|CUL4A_MOUSE	2718088.98680959	2747383.14359553	2800840.6829741	2700765.46345762	2828600.50141352	2929895.62015138	2757950.60412232	2686770.51681404	2788220.10974936	2709090.62511466
Hmgn3	sp|Q9DCB1|HMGN3_MOUSE	108894.687586646	101546.874574371	119655.8792026	109291.54411428	155237.073321333	157951.015973545	103199.649817263	49953.6576300196	55355.3491199623	62052.956303781
Hmgn3	sp|Q9DCB1-3|HMGN3_MOUSE	115338.224353806	105944.301948212	132875.409858834	112901.107837561	160251.62168875	176511.321444905	115724.381746682	41394.4513108462	45288.6944642407	52194.9171971269
Hmgn3	tr|A0A087WSB8|A0A087WSB8_MOUSE	119160.40859228	110565.642113207	134010.298571248	110765.842804678	159948.993957057	180121.318655319	116757.411375798	40538.7760513704	43080.615046909	41508.4130918601
Afap1l2	sp|Q5DTU0|AF1L2_MOUSE	700875.694786333	732895.569931793	767384.215783796	650312.645179193	501549.554989287	526554.086820171	492282.527292627	286980.199191067	291406.035842442	307536.524491348
Nip7	sp|Q9CXK8|NIP7_MOUSE	110459.118889515	112116.078893717	118312.052695452	102927.709066321	134896.058193193	140214.316929957	112533.547113677	78864.6578753668	85309.9057911155	84512.5009365732
Lsm5	sp|P62322|LSM5_MOUSE	109844.387508859	109977.013868943	122681.709333685	121969.609896577	140510.966491319	142534.260774155	130312.191829174	97022.856718179	96326.2469785097	88686.821689177
Vamp7	sp|P70280|VAMP7_MOUSE	168335.66994842	179287.928118018	178310.450691563	179651.093176115	162536.720966249	156152.006085045	185629.285612533	178357.58801502	177287.770116253	181687.780130935
Lpcat1	sp|Q3TFD2|PCAT1_MOUSE	1005489.99625801	1069249.07531089	1146588.67612566	933449.301551029	1288712.13344449	1336585.59369149	1086903.83187464	475438.258243012	505866.919815193	540890.762249336
Vti1a	sp|O89116|VTI1A_MOUSE	399970.448368006	384344.116642418	397000.593402611	389504.8979761	362793.202407865	325607.512964704	355134.165329638	488387.337162442	492427.272905824	487409.263984735
Mrpl45	sp|Q9D0Q7|RM45_MOUSE	301483.970341189	312719.16180192	310500.589129196	301767.539317463	373552.658982132	373607.22062091	347586.441253517	272023.824880939	284409.98192222	272860.311028802
Atp8a1	sp|P70704|AT8A1_MOUSE	2816285.27708055	2851600.97092925	2792978.71038988	2985488.18809655	2097087.20877027	2174673.9505445	2808865.48410895	3234987.4130764	3099558.86776173	3435891.86704398
Atp8a1	sp|P70704-2|AT8A1_MOUSE	1950118.93626487	1967878.73295288	1937373.21797278	2050602.18192121	1467879.54064361	1538770.18548151	1932933.91092664	2194120.46861665	2089557.02127682	2301196.08629601
Srgap2	sp|Q91Z67|SRGP2_MOUSE	886283.053041577	839033.043026798	885526.42175688	888038.652213346	1036953.96094028	1006211.45672757	949094.999133173	823980.258138143	812240.731050633	813899.173612394
Srgap2	tr|A0A087WNM1|A0A087WNM1_MOUSE	887895.644749335	840572.886604396	885560.640117328	886456.036519838	1043038.56217	994811.193936082	952761.965995117	820706.583175855	811445.361606345	810538.319143643
Ilkap	sp|Q8R0F6|ILKAP_MOUSE	921374.279455152	977781.828861863	932114.906902078	915409.562254205	1180022.72610427	1187091.03581163	959985.681311013	683186.257646945	672289.05209422	715695.059606976
Serpinb1b	sp|Q8VHP7|ILEUB_MOUSE	3775647.91736428	2986373.94384268	2512523.91108944	1887930.72352392	958527.051337421	1105947.67836248	1742710.87315618	1865203.06621786	2115825.1958813	1898591.89397066
H13	tr|A3KGR9|A3KGR9_MOUSE	635321.474076398	648763.153079614	686068.773920559	601057.714000469	685206.707010184	748436.243307716	635556.71438171	396396.495744874	404201.802121509	403657.954436227
Exoc2	sp|Q9D4H1|EXOC2_MOUSE	972472.02796343	924572.948128981	968219.231283124	1003542.311823	919301.262092655	889638.368938833	960367.294427584	1128525.20467459	1130307.84582964	1106787.10336761
Cad	sp|B2RQC6|PYR1_MOUSE	1815151.81799773	1835872.27813864	1788352.43447276	1729294.91346147	2244708.37782856	2320798.05636681	1904638.80171895	1124726.1514322	1195575.17482813	1163686.78580159
Gpc1	sp|Q9QZF2|GPC1_MOUSE	640848.203848879	555683.009215443	602230.236021683	694993.131577298	513692.286517263	479900.159152698	593286.214013644	534583.063228501	583725.456926246	550003.630154454
Pir	sp|Q9D711|PIR_MOUSE	624713.853517147	601978.62003933	594638.022607685	558779.430243284	689468.392016674	580293.975511908	627326.191207198	678722.430528025	644945.756625507	701687.813976063
Iah1	sp|Q9DB29|IAH1_MOUSE	366894.481095147	354754.071235835	403651.569099432	320847.478884317	342342.767511579	354510.032878499	339421.682343643	227030.364693244	230304.99789881	228671.310965478
Pds5b	sp|Q4VA53|PDS5B_MOUSE	933510.81061761	914312.617468522	910439.998591067	843173.694046665	1188801.78651933	1302172.38879977	993967.703531462	609809.492828934	634169.565067677	636459.56342187
Tubg1	sp|P83887|TBG1_MOUSE	1639237.7622872	1676227.19795475	1712080.98409855	1727171.19370227	1890679.51735145	1940359.92076643	1631849.30630057	1602702.55872585	1554477.75827797	1631418.20671953
Dgke	sp|Q9R1C6|DGKE_MOUSE	542023.594944958	549387.383113262	509838.079086342	563869.633906171	440182.947468332	415038.373069662	524171.854026273	761952.170648329	742017.133983008	746392.030777583
Rufy2	sp|Q8R4C2|RUFY2_MOUSE	309752.712622553	319616.810441232	334375.714161222	292102.436553204	331310.69120398	319316.188026268	307250.910634903	276597.791106658	280252.673007407	272372.877265454
Rufy2	tr|Q8BR30|Q8BR30_MOUSE	325722.822060709	348116.44816742	348721.376413636	325536.07375169	316622.193573041	312360.197718077	315899.300095808	342445.168972853	341766.657157225	343528.065941628
Rab3gap1	sp|Q80UJ7|RB3GP_MOUSE	1089596.82464517	1109217.7457029	1119441.97327405	1129772.66607101	1074637.24460075	1054597.705049	1114949.65842782	1239790.59681897	1248893.87250084	1282513.04435084
Eml1	sp|Q05BC3|EMAL1_MOUSE	1266186.82229997	1146545.67169549	1296377.33506865	957638.330687159	520099.813364741	560254.542352849	603900.276388918	574593.144654173	596882.337090798	576520.139448875
Eml1	sp|Q05BC3-3|EMAL1_MOUSE	1216248.89330601	1100941.45701023	1246626.58812594	928409.607358855	519583.959833052	557388.370377968	607475.291642633	607542.433587829	621298.23720586	593312.647352199
Dtd2	sp|Q8BHA3|DTD2_MOUSE	125952.626163235	130272.871498302	126930.786316247	136270.384138346	120011.747149927	128561.468760275	120193.001759804	115800.363850731	118586.861298438	117560.390328985
Asap1	sp|Q9QWY8|ASAP1_MOUSE	1545662.11543954	1539272.69801011	1589811.20495562	1904303.19747717	1476637.31039136	1537881.49069383	1590123.70126902	2790867.9825344	2647872.03330726	2714495.64702206
Asap1	tr|H3BKE6|H3BKE6_MOUSE	1544881.7666063	1531689.99414356	1586551.71483862	1895537.71227975	1489128.84685569	1535661.0176646	1596492.63211365	2781514.65087913	2664418.22609205	2713746.26132613
Ube2c	sp|Q9D1C1|UBE2C_MOUSE	269833.95884846	314225.460356849	288632.76945196	306580.719925821	311835.88884493	368639.786990113	235819.903449177	117400.746284523	124684.7823923	125565.350515216
Edc4	sp|Q3UJB9|EDC4_MOUSE	659787.497635653	654992.056699568	694038.764571911	677074.441650716	754497.207864445	775703.494633869	684105.075247827	568634.722983971	567098.085155348	567024.478731168
Edc4	tr|G5E896|G5E896_MOUSE	658691.167403051	651416.760477442	692511.135437546	684059.864184859	750753.833460268	778516.965163845	677150.806326475	572322.372703353	566429.01056421	567812.879016149
Ankrd13a	sp|Q80UP5|AN13A_MOUSE	395038.878866784	364527.579173966	412876.081100014	348070.790785758	339598.858588798	309754.185916705	318780.686296645	257192.383217036	273468.592709628	259212.515786324
Nedd4l	sp|Q8CFI0|NED4L_MOUSE	661414.891339064	624768.82363148	655259.604175996	672350.238840557	529423.583153402	511989.074876337	607223.10944849	813661.5778134	815660.563355354	801746.559967818
Stk25	sp|Q9Z2W1|STK25_MOUSE	1309708.65829443	1299418.51726801	1243355.90638634	1283591.64956528	1325660.92757459	1289151.41309376	1282736.00783122	1363626.68842656	1418740.19851566	1345019.38724904
Bet1	sp|O35623|BET1_MOUSE	116828.713672497	117290.966485634	123422.256440999	124800.927382434	123133.797403136	135966.463100299	122303.024933861	96920.6438839437	92027.6162275989	99449.1438030342
Ttc9c	sp|Q810A3|TTC9C_MOUSE	295164.712739756	307408.944431076	296145.26662176	310852.196299498	335913.079594847	322279.386638071	286914.045216806	273581.595678983	266176.57321264	270328.253728178
Snrnp40	sp|Q6PE01|SNR40_MOUSE	486305.29518223	502231.025911005	503505.260696777	498181.304164149	568109.282904155	601690.855086793	468507.458694646	392309.541606478	369820.89205668	390561.334020672
Dnajc24	sp|Q91ZF0|DJC24_MOUSE	454484.845890191	410091.120421952	422256.407888785	350763.424754051	559596.485219593	548002.491636064	409797.885878739	280919.80696078	278589.498780231	309106.477364544
Vps51	sp|Q3UVL4|VPS51_MOUSE	522915.315707009	542045.16816825	551271.053753169	550240.141186605	508323.438960551	491519.819106997	532489.69697515	660645.82876571	623765.657610469	641335.946590769
Prpf6	sp|Q91YR7|PRP6_MOUSE	651957.839995941	668063.972589786	662272.442485509	624161.292464357	806920.782325533	848912.538974206	659644.735995004	473408.094784652	485634.004121862	491280.212785826
Syt12	sp|Q920N7|SYT12_MOUSE	730666.901628298	793190.28032286	732737.356079373	767517.73400373	535486.142930885	522506.460315585	702450.351488517	1116163.32096666	1063541.96785021	1027021.78240953
Mark3	sp|Q03141|MARK3_MOUSE	973454.244585007	955887.125576395	977914.117296692	1001636.36588113	873189.651740831	895839.312049996	905807.989022717	1267415.25862206	1303849.44482176	1254178.2253087
